"page_id","A_o","nodes"
"138",758,0.89413616686344,121
"139",845,0.877972709551655,342
"140",844,0.729504172803142,97
"141",843,0.88118811881188,101
"142",842,0.881834215167549,63
"143",869,0.574032738095238,128
"144",868,0.82781954887218,190
"145",907,0.838850174216028,82
"146",841,0.682297346419483,131
"147",830,0.933333333333334,123
"148",861,0.858,300
"149",860,0.631541725601131,101
"150",863,0.74749373433584,76
"151",840,0.753720238095238,64
"152",865,0.773476702508961,93
"153",867,0.971988795518207,85
"154",866,0.921933621933623,330
"155",726,0.927960927960928,39
"156",727,0.895470383275261,246
"157",724,0.910675381263616,102
"158",725,0.977927651747394,233
"159",722,0.949465500485909,343
"160",723,1,373
"161",721,0.743023255813954,172
"162",728,0.69373942470389,788
"163",729,0.967169476486247,322
"164",740,0.9562358276644,315
"165",741,0.827731092436975,34
"166",742,0.868725868725869,37
"167",743,0.798295454545455,88
"168",744,0.884575569358178,92
"169",745,0.730817217716782,229
"170",885,0.880770628862232,393
"171",747,0.927721088435374,84
"172",748,0.66988416988417,296
"173",749,0.86002886002886,33
"174",889,0.927849927849928,33
"175",888,0.902439024390244,41
"176",905,0.554887218045109,475
"177",878,0.92517006802721,28
"178",879,0.90922619047619,48
"179",876,0.897875816993464,68
"180",877,0.996842936069456,181
"181",874,0.898210290827742,596
"182",875,0.877536231884058,368
"183",872,0.858490566037736,106
"184",873,0.972963951935915,107
"185",906,0.92746913580247,216
"186",871,0.92781954887218,95
"187",775,0.57040110650069,482
"188",774,0.83236409608091,565
"189",777,0.942359855334539,316
"190",893,0.851906158357771,31
"191",771,0.924459494660065,349
"192",770,0.816065723413966,313
"193",773,0.936692506459948,86
"194",772,0.715608465608466,54
"195",898,0.956898964455636,1191
"196",899,0.78125,32
"197",779,0.832794656324068,221
"198",778,0.574222222222223,300
"199",803,0.823979591836735,84
"200",831,0.693739967897272,445
"201",802,0.787545787545788,52
"202",836,0.736507936507937,147
"203",801,0.924761904761905,100
"204",837,0.780842911877395,87
"205",800,0.840555555555555,150
"206",834,0.931216931216931,108
"207",835,0.899431818181818,64
"208",809,0.899185823754789,232
"209",808,0.849324804548684,134
"210",689,0.756594724220624,417
"211",688,0.967120181405896,63
"212",685,0.816445182724252,86
"213",684,0.739718614718615,198
"214",687,0.782679738562092,85
"215",686,0.442090395480226,59
"216",807,0.727838827838828,260
"217",806,0.9,32
"218",805,0.705722639933168,228
"219",804,0.983739837398374,41
